item_id,stimulus_id,user_message,assistant_response,epoch_id,model_id,condition
s02__E2__baseline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.",I'm sorry to hear that. Have you talked to her about how you feel about it?,E2,facebook/blenderbot-400M-distill,baseline
s07__E3__baseline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","I'm glad to hear that you've submitted your thesis and are feeling relieved and joyful about this accomplishment. It's completely normal to have mixed feelings after such a significant milestone. Remember, it's okay to feel disappointed and worried about the parts that need improvement. This is a great opportunity to refine your work and strengthen your arguments. Keep focusing on the positive progress you've made, and don't hesitate to seek feedback to enhance your thesis further.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s10__E2__baseline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.",I'm sorry to hear that. I hope everything turns out well for you. What are you worried about?,E2,facebook/blenderbot-400M-distill,baseline
s07__E2__pipeline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","I'm sure you did great! I know how you feel though, it can be nerve wracking.",E2,facebook/blenderbot-400M-distill,pipeline
s12__E1__pipeline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.",Thank you for your time. I'm sorry for the inconvenience.,E1,microsoft/DialoGPT-medium,pipeline
s07__E1__pipeline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.",Joyous and nervous. I'm not sure what's going on.,E1,microsoft/DialoGPT-medium,pipeline
s06__E1__pipeline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.",Thank you for your feedback. Thanks for your input. Thank you.,E1,microsoft/DialoGPT-medium,pipeline
s09__E1__pipeline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.",I don't know what to do with my hands!!!,E1,microsoft/DialoGPT-medium,pipeline
s04__E4__baseline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.","It's great to hear that you finished the marathon, even with the lingering concern about pushing too hard and your injury. Recovery is important, so take the time you need to heal properly.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s07__E4__pipeline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","It's great to hear that you feel relieved and joyful about submitting your thesis. However, it's understandable to feel a bit nervous and disappointed about the parts that still need improvement.",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s10__E1__baseline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.",I'm sorry to hear that.,E1,microsoft/DialoGPT-medium,baseline
s06__E3__pipeline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.","It's completely normal to feel a mix of emotions when it comes to financial support from family. Remember that it's okay to rely on your parents, and it's a sign of their love and care for you. It's also important to communicate openly with them about your feelings and work together to find a path to financial independence that feels right for you.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s05__E1__baseline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.",I care about you.,E1,microsoft/DialoGPT-medium,baseline
s11__E1__baseline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.",I miss the office and the freedom it gives me.,E1,microsoft/DialoGPT-medium,baseline
s09__E2__pipeline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.",I know what you mean. It's hard not to feel that way sometimes. Have you tried talking to them about it?,E2,facebook/blenderbot-400M-distill,pipeline
s12__E2__pipeline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.",I am glad you are able to look at the positive side of things. I am sure you learned from your mistake.,E2,facebook/blenderbot-400M-distill,pipeline
s02__E1__baseline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.",I'm sorry for your loss.,E1,microsoft/DialoGPT-medium,baseline
s05__E3__pipeline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.","It's completely normal to feel a mix of emotions when considering a new relationship. It's important to communicate openly with your partner about your feelings and concerns. Taking things slow and building trust can help ease your anxiety. Remember, it's okay to prioritize your emotional well-being.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s10__E3__baseline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.","I understand that waiting for medical results can be a stressful time. It's natural to feel anxious about the notifications, but remember that it's important to stay positive and hopeful. Perhaps you could try to distract yourself with activities you enjoy or talk to someone close to you for support. Remember, whatever the results, you're not alone, and there are people ready to help you through this.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s10__E4__pipeline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.",I understand that you're hopeful for the best but feel dread with each notification. How about we focus on staying positive and hopeful until you hear the results?,E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s06__E4__pipeline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.","It's common to feel a mix of emotions when you're still relying on your parents financially. Gratitude for their support is a positive feeling, but the shame and anger you're experiencing are understandable too.",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s06__E3__baseline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.","It's completely normal to feel a mix of emotions when it comes to financial support from parents. Remember, seeking help is a sign of strength, not weakness. It's important to communicate openly with your parents about your feelings and work together to find a solution that respects your independence while acknowledging their support.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s06__E2__baseline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.",I know what you mean. I'm glad my parents are supportive of me as well.,E2,facebook/blenderbot-400M-distill,baseline
s12__E4__baseline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.","It's good that you told the truth, even if it made the situation more difficult. Moving forward, you might consider how to express your feelings more calmly next time.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s07__E2__baseline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","I'm sure you did great! I know how you feel though, it can be nerve wracking.",E2,facebook/blenderbot-400M-distill,baseline
s11__E2__baseline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.",I'm sorry to hear that. What do you do in your spare time to keep yourself occupied?,E2,facebook/blenderbot-400M-distill,baseline
s02__E3__baseline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.","I'm glad to hear that you're happy for your sister's wedding; it's a special occasion. It's completely normal to feel a bit of loneliness during such times, especially when life seems to be moving forward for others. Remember, it's okay to take a moment for yourself and reflect on your own journey. Perhaps this could be a time to focus on personal growth or to reach out to friends and family for support.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s05__E3__baseline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.","It's completely normal to feel anxious about getting hurt in a new relationship, especially if you've experienced it before. Remember that taking the risk of opening up to someone new can lead to rewarding connections. It's important to communicate your feelings and concerns with your partner, and to take things at a pace that feels comfortable for you. Building trust and setting healthy boundaries can help you navigate this new relationship with care and mindfulness.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s03__E4__pipeline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.","I understand that the love you have for your city is strong, but the rent stress can definitely make mornings feel tough. How about exploring any potential ways to reduce your expenses or find more affordable housing options?",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s05__E4__pipeline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.",It's natural to feel both drawn to someone and worried about potential hurt in a new relationship. How can I help you navigate these feelings?,E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s06__E1__baseline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.",How do you feel about your parents'financial support?,E1,microsoft/DialoGPT-medium,baseline
s03__E2__baseline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.",I'm sorry to hear that. Is there anything you can do to make it less stressful?,E2,facebook/blenderbot-400M-distill,baseline
s10__E3__pipeline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.","I understand that waiting for medical results can be a stressful time, and it's natural to feel a mix of hope and anxiety. Remember that regardless of the outcome, you have support systems in place to help you through whatever comes next. It's important to focus on the steps you can take to maintain your well-being during this period.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s09__E4__baseline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.","It's great that you admire your colleague's confidence, but it's important to address the interruptions as they can make you feel small and disrespected. You might consider politely reminding them of the importance of listening to others as well.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s08__E1__baseline,s08,"I'm excited about moving abroad for work, while at the same time I feel sad about leaving my friends and family.",I don't know what to do with my life.,E1,microsoft/DialoGPT-medium,baseline
s01__E4__pipeline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.","It's understandable to feel both excited and apprehensive about a promotion. Remember, deserving something isn't always about your current abilities but about the growth and effort you've shown.",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s05__E2__baseline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.",Why do you feel that way? Do you think you'll be able to get through it?,E2,facebook/blenderbot-400M-distill,baseline
s10__E4__baseline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.","I understand your concern, and it's completely normal to feel anxious during this time. It's important to stay positive and focus on the support systems around you.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s06__E4__baseline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.","It's common to feel a mix of emotions about financial dependence, but it's important to recognize that your parents' support is a reflection of their love and care for you. You might consider talking to them about your feelings to find a way to move forward together.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s01__E2__baseline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.",Why do you think you don't deserve it? I'm sure you're doing a great job.,E2,facebook/blenderbot-400M-distill,baseline
s03__E1__baseline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.",I like your username though.,E1,microsoft/DialoGPT-medium,baseline
s05__E4__baseline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.",It's natural to feel anxious after past hurt. Honesty with your feelings can help both of you navigate this relationship carefully.,E4,Qwen/Qwen2.5-3B-Instruct,baseline
s09__E2__baseline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.",Why do you feel that way? Is it because you are intimidated by them?,E2,facebook/blenderbot-400M-distill,baseline
s03__E4__baseline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.","It's understandable that the rent stress can affect your mood, but remember to prioritize self-care and possibly explore if there are any local resources or support groups that can help manage your financial stress.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s08__E2__baseline,s08,"I'm excited about moving abroad for work, while at the same time I feel sad about leaving my friends and family.",I'm sure you'll make new friends when you get back. Where are you moving to?,E2,facebook/blenderbot-400M-distill,baseline
s04__E1__baseline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.",I don't know what to tell you.,E1,microsoft/DialoGPT-medium,baseline
s01__E3__pipeline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.","Congratulations on your promotion! It's natural to feel a mix of emotions during such a significant change. Remember, your hard work and dedication have led you to this moment, and it's okay to take some time to adjust to your new role.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s01__E4__baseline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.","It's natural to feel both proud and anxious during a promotion. Remember, your hard work and dedication are what led to this opportunity, and it's okay to feel uncertain about how others perceive it.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s03__E3__pipeline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.",I'm sorry to hear that you're feeling stressed about the rent. It's great to hear that you love living in the city and appreciate the opportunities it offers. Have you considered looking into more affordable housing options or perhaps speaking with a financial advisor to help manage your expenses?,E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s07__E1__baseline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.",I don't know what I'm doing.,E1,microsoft/DialoGPT-medium,baseline
s08__E3__pipeline,s08,"I'm excited about moving abroad for work, while at the same time I feel sad about leaving my friends and family.","It's completely normal to feel a mix of emotions when facing such a significant life change. It's great that you're excited about the new opportunities that await you abroad. Remember, it's also important to cherish the time you have with your loved ones. Keep in touch with them, and perhaps plan a visit back home soon.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s12__E1__baseline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.",I don't know what I'm doing.,E1,microsoft/DialoGPT-medium,baseline
s03__E2__pipeline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.",I'm sorry to hear that. Do you have any hobbies to take your mind off of it?,E2,facebook/blenderbot-400M-distill,pipeline
s10__E1__pipeline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.",I don't know what to do with my hands!!!,E1,microsoft/DialoGPT-medium,pipeline
s06__E2__pipeline,s06,"I'm grateful my parents support me financially, yet I feel ashamed and angry that I still depend on them at my age.",I know what you mean. I feel the same way. I'm glad my parents are supportive.,E2,facebook/blenderbot-400M-distill,pipeline
s11__E2__pipeline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.",I'm sorry to hear that. What do you do in your spare time to keep yourself occupied?,E2,facebook/blenderbot-400M-distill,pipeline
s03__E3__baseline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.","I'm sorry to hear that you're feeling stressed about rent. It's important to find a balance between enjoying your city and managing your finances. Have you considered looking for a roommate or exploring more affordable neighborhoods? Sometimes, small changes can make a big difference in your daily life.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s01__E1__baseline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.",I don't think you deserve it.,E1,microsoft/DialoGPT-medium,baseline
s12__E3__baseline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.","It's commendable that you value honesty in your interactions. Remember, it's natural to reflect on our words, especially after a heated exchange. Perhaps consider expressing your thoughts in a calm and constructive manner next time. This way, you can maintain your integrity while also being mindful of how you communicate.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s08__E1__pipeline,s08,"I'm excited about moving abroad for work, while at the same time I feel sad about leaving my friends and family.",I don't know what to do with my hands!!!,E1,microsoft/DialoGPT-medium,pipeline
s12__E2__baseline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.",I'm sorry you had to go through that. I'm sure it wasn't your fault.,E2,facebook/blenderbot-400M-distill,baseline
s07__E3__pipeline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","I'm really proud of you for submitting your thesis! It's a significant accomplishment, and it's normal to feel a mix of emotions. Remember, it's okay to take some time to review and strengthen the parts you're not as confident about. You've got this!",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s11__E4__pipeline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.","I understand that remote work offers a lot of flexibility, but it can be tough to stay connected with your team and miss the social aspects of being in the office.",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s04__E1__pipeline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.",Joyousness and fear. I'm not sure what's going on.,E1,microsoft/DialoGPT-medium,pipeline
s09__E4__pipeline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.",It sounds like you're in a challenging situation where you respect your colleague's assertiveness but find it frustrating. How about discussing this with your colleague to find a way to balance their confidence with your need for respect and space?,E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s12__E4__pipeline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.","It's good to know you stood by your truth, even if it wasn't easy to express.",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s09__E1__baseline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.","I'm with you, I'm not.",E1,microsoft/DialoGPT-medium,baseline
s04__E3__pipeline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.","It's truly commendable that you've completed the marathon; that's a significant achievement. It's natural to feel some apprehension about your injury, but remember that taking care of your health is paramount. Perhaps consider consulting with a healthcare professional to ensure you're on the right track for recovery.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s04__E2__pipeline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.",You should be proud of yourself. It takes a lot of courage to do something like that.,E2,facebook/blenderbot-400M-distill,pipeline
s11__E3__pipeline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.","I understand that remote work offers you a lot of freedom, which is great. It's natural to miss the camaraderie and connection that comes with being in the office. Perhaps you could schedule regular virtual meet-ups or team-building activities to help bridge that gap and maintain a sense of community.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s12__E3__pipeline,s12,"I'm glad I told the truth in that argument, although I regret how harsh I sounded and keep replaying it.","It's commendable that you value honesty in your interactions. Reflecting on your words can be a powerful step towards personal growth. Remember, it's okay to express yourself, but also consider the impact your words may have on others.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s01__E3__baseline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.","It's completely normal to feel a mix of emotions when you receive a promotion. Your hard work and dedication have led to this achievement, and it's a testament to your abilities. Remember, it's okay to have doubts, but try to focus on your accomplishments and the positive impact you've made. You deserve this promotion, and it's important to believe in yourself.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s07__E4__baseline,s07,"I feel relieved and even joyful that I finally submitted my thesis, but I am also disappointed and worried because parts of it are still weak.","It's great to hear you feel relieved and joyful about submitting your thesis. It's natural to feel disappointed and worried about the areas that need improvement, but remember, this is a normal part of the process.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s10__E2__pipeline,s10,"I'm hopeful the medical results will be fine, yet every notification on my phone fills me with dread.",I'm sorry to hear that. I hope everything turns out well for you. What are you worried about?,E2,facebook/blenderbot-400M-distill,pipeline
s02__E2__pipeline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.",I'm sorry to hear that. I'm sure your sister is happy for you as well.,E2,facebook/blenderbot-400M-distill,pipeline
s09__E3__pipeline,s09,"I admire my colleague's confidence in meetings, but I also feel annoyed and small whenever they interrupt me.","It's great to hear that you appreciate your colleague's confidence; it's a valuable trait in any professional setting. However, it's important to feel respected and heard during meetings. Perhaps you could suggest a meeting etiquette to the team or speak to your colleague privately about how their interruptions make you feel.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s11__E4__baseline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.","It's common to feel that way, but remember that maintaining regular communication and team-building activities can help bridge the gap and keep you connected.",E4,Qwen/Qwen2.5-3B-Instruct,baseline
s02__E3__pipeline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.","It's wonderful to hear that you're celebrating your sister's wedding and are happy for her. It's natural to feel a mix of emotions during such significant events. Perhaps you could find comfort in sharing your feelings with friends or family, or even consider planning a special day for yourself to reflect and enjoy.",E3,microsoft/Phi-3-mini-4k-instruct,pipeline
s03__E1__pipeline,s03,"I love living in this city and all the opportunities here, but the rent stress is making me resent every morning.","Love, sadness, etc. I love the user's attitude.",E1,microsoft/DialoGPT-medium,pipeline
s04__E3__baseline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.","It's truly commendable that you completed the marathon despite your injury. Remember, it's important to listen to your body and not push beyond your limits. Perhaps consider consulting with a healthcare professional to ensure you're on the right track for recovery. Your determination is admirable, but your health should always come first.",E3,microsoft/Phi-3-mini-4k-instruct,baseline
s04__E4__pipeline,s04,"I'm proud that I finished the marathon, although my injury still scares me and I keep thinking I pushed too hard.","It's great to hear that you finished the marathon, even with the lingering fear of pushing too hard. How are you managing to cope with those thoughts?",E4,Qwen/Qwen2.5-3B-Instruct,pipeline
s05__E2__pipeline,s05,"I want to start this new relationship because I care about them, but I also feel anxious that I will get hurt again.","I'm sure you'll be fine. Relationships are hard, but it's worth it in the end.",E2,facebook/blenderbot-400M-distill,pipeline
s01__E2__pipeline,s01,"I am so proud and happy about this promotion, but I am also scared and anxious that everyone will soon see that I do not deserve it.",I'm sure you'll do just fine. Just be confident in yourself and you'll be fine.,E2,facebook/blenderbot-400M-distill,pipeline
s02__E4__baseline,s02,"I'm genuinely happy for my sister's wedding, yet I also feel lonely and left behind in my own life.",It's common to feel a mix of emotions during such joyous occasions. Perhaps focusing on your own happiness and well-being can help balance those feelings.,E4,Qwen/Qwen2.5-3B-Instruct,baseline
s11__E1__pipeline,s11,"I enjoy remote work and the freedom it gives me, but I miss the office and feel disconnected from the team.",Joyous and sorrowful. I'm not sure what's going on.,E1,microsoft/DialoGPT-medium,pipeline
