participante,idioma,estado,atenção,motivo de exclusão,código do item,classificação,ordem,estímulo,época,condição,modelo,tempo da resposta (s),mediana do item (s),ritmo relativo,ritmo demasiado rápido
P005,Português,concluído,Sim,ritmo demasiado rápido,s06__E2__pipeline,6,11,s06,E2,pipeline,facebook/blenderbot-400M-distill,2,15,0.133,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s10__E2__baseline,6,12,s10,E2,linha de base,facebook/blenderbot-400M-distill,2,13.5,0.148,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s12__E3__pipeline,5,13,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,3,19,0.158,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s01__E1__pipeline,5,14,s01,E1,pipeline,microsoft/DialoGPT-medium,1,17,0.059,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s07__E2__pipeline,5,15,s07,E2,pipeline,facebook/blenderbot-400M-distill,2,20,0.100,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s11__E2__baseline,4,16,s11,E2,linha de base,facebook/blenderbot-400M-distill,1,16,0.063,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s10__E1__pipeline,4,17,s10,E1,pipeline,microsoft/DialoGPT-medium,2,10,0.200,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s04__E2__pipeline,6,18,s04,E2,pipeline,facebook/blenderbot-400M-distill,2,14,0.143,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s11__E3__pipeline,6,19,s11,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,6,19,0.316,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s08__E3__pipeline,7,20,s08,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,2,21.5,0.093,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s01__E4__pipeline,7,21,s01,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,6,25,0.240,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s09__E3__pipeline,5,22,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,4,17,0.235,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s06__E2__baseline,7,23,s06,E2,linha de base,facebook/blenderbot-400M-distill,2,14,0.143,Sim
P005,Português,concluído,Sim,ritmo demasiado rápido,s08__E1__pipeline,6,24,s08,E1,pipeline,microsoft/DialoGPT-medium,1,10,0.100,Sim
P006,Português,em curso,,,s11__E1__pipeline,4,1,s11,E1,pipeline,microsoft/DialoGPT-medium,,10,,
P007,Português,concluído,Sim,,s11__E1__baseline,3,1,s11,E1,linha de base,microsoft/DialoGPT-medium,,9,,Não
P007,Português,concluído,Sim,,s02__E3__pipeline,7,2,s02,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,99,25.5,3.882,Não
P007,Português,concluído,Sim,,s12__E2__pipeline,7,3,s12,E2,pipeline,facebook/blenderbot-400M-distill,44,20,2.200,Não
P007,Português,concluído,Sim,,s04__E1__baseline,1,4,s04,E1,linha de base,microsoft/DialoGPT-medium,12,8,1.500,Não
P007,Português,concluído,Sim,,s05__E2__pipeline,7,5,s05,E2,pipeline,facebook/blenderbot-400M-distill,24,15,1.600,Não
P007,Português,concluído,Sim,,s02__E2__pipeline,5,6,s02,E2,pipeline,facebook/blenderbot-400M-distill,52,13,4.000,Não
P007,Português,concluído,Sim,,s04__E4__pipeline,7,7,s04,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,42,17.5,2.400,Não
P007,Português,concluído,Sim,,s05__E3__baseline,7,8,s05,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,31,24,1.292,Não
P007,Português,concluído,Sim,,s08__E4__baseline,7,9,s08,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,43,15,2.867,Não
P007,Português,concluído,Sim,,s05__E1__baseline,2,10,s05,E1,linha de base,microsoft/DialoGPT-medium,17,11,1.545,Não
P007,Português,concluído,Sim,,s09__E4__baseline,7,11,s09,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,26,20,1.300,Não
P007,Português,concluído,Sim,,s07__E4__baseline,7,12,s07,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,19,15.5,1.226,Não
P007,Português,concluído,Sim,,s04__E4__baseline,7,13,s04,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,14,15,0.933,Não
P007,Português,concluído,Sim,,s12__E2__baseline,7,14,s12,E2,linha de base,facebook/blenderbot-400M-distill,22,20.5,1.073,Não
P007,Português,concluído,Sim,,s02__E1__pipeline,2,15,s02,E1,pipeline,microsoft/DialoGPT-medium,15,10,1.500,Não
P007,Português,concluído,Sim,,s02__E4__pipeline,7,16,s02,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,15,15,1.000,Não
P007,Português,concluído,Sim,,s05__E4__pipeline,7,17,s05,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,16,14,1.143,Não
P007,Português,concluído,Sim,,s02__E1__baseline,1,18,s02,E1,linha de base,microsoft/DialoGPT-medium,32,11,2.909,Não
P007,Português,concluído,Sim,,s08__E2__pipeline,6,19,s08,E2,pipeline,facebook/blenderbot-400M-distill,25,14,1.786,Não
P007,Português,concluído,Sim,,s07__E1__baseline,1,20,s07,E1,linha de base,microsoft/DialoGPT-medium,9,11,0.818,Não
P007,Português,concluído,Sim,,s01__E4__baseline,7,21,s01,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,16,15.5,1.032,Não
P007,Português,concluído,Sim,,s11__E4__baseline,7,22,s11,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,13,13,1.000,Não
P007,Português,concluído,Sim,,s10__E3__baseline,7,23,s10,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,22,19,1.158,Não
P007,Português,concluído,Sim,,s04__E2__baseline,4,24,s04,E2,linha de base,facebook/blenderbot-400M-distill,33,13,2.538,Não
P007,Português,concluído,Sim,,s10__E1__baseline,1,25,s10,E1,linha de base,microsoft/DialoGPT-medium,59,14,4.214,Não
P007,Português,concluído,Sim,,s06__E1__baseline,1,26,s06,E1,linha de base,microsoft/DialoGPT-medium,34,16,2.125,Não
P007,Português,concluído,Sim,,s06__E2__baseline,6,27,s06,E2,linha de base,facebook/blenderbot-400M-distill,19,14,1.357,Não
P007,Português,concluído,Sim,,s04__E2__pipeline,7,28,s04,E2,pipeline,facebook/blenderbot-400M-distill,11,14,0.786,Não
P007,Português,concluído,Sim,,s10__E2__pipeline,7,29,s10,E2,pipeline,facebook/blenderbot-400M-distill,12,11.5,1.043,Não
P007,Português,concluído,Sim,,s05__E1__pipeline,1,30,s05,E1,pipeline,microsoft/DialoGPT-medium,16,13.5,1.185,Não
P007,Português,concluído,Sim,,s04__E1__pipeline,1,31,s04,E1,pipeline,microsoft/DialoGPT-medium,12,13,0.923,Não
P007,Português,concluído,Sim,,s11__E4__pipeline,6,32,s11,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,35,14.5,2.414,Não
P008,Português,em curso,,,s12__E1__pipeline,4,1,s12,E1,pipeline,microsoft/DialoGPT-medium,,12,,Não
P008,Português,em curso,,,s07__E4__pipeline,6,2,s07,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,21,18,1.167,Não
P008,Português,em curso,,,s09__E2__baseline,5,3,s09,E2,linha de base,facebook/blenderbot-400M-distill,10,13.5,0.741,Não
P008,Português,em curso,,,s04__E4__baseline,7,4,s04,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,,15,,Não
P009,Português,concluído,Não,falha no item de atenção,s12__E4__pipeline,6,1,s12,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,,13,,Sim
P009,Português,concluído,Não,falha no item de atenção,s05__E4__baseline,7,2,s05,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,13,13.5,0.963,Sim
P009,Português,concluído,Não,falha no item de atenção,s05__E3__pipeline,7,3,s05,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,15,18,0.833,Sim
P009,Português,concluído,Não,falha no item de atenção,s02__E2__baseline,7,4,s02,E2,linha de base,facebook/blenderbot-400M-distill,1,15,0.067,Sim
P009,Português,concluído,Não,falha no item de atenção,s09__E4__pipeline,6,5,s09,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,17,20,0.850,Sim
P009,Português,concluído,Não,falha no item de atenção,s09__E2__baseline,3,6,s09,E2,linha de base,facebook/blenderbot-400M-distill,11,13.5,0.815,Sim
P009,Português,concluído,Não,falha no item de atenção,s10__E1__baseline,3,7,s10,E1,linha de base,microsoft/DialoGPT-medium,14,14,1.000,Sim
P009,Português,concluído,Não,falha no item de atenção,s05__E1__pipeline,2,8,s05,E1,pipeline,microsoft/DialoGPT-medium,14,13.5,1.037,Sim
P009,Português,concluído,Não,falha no item de atenção,s08__E3__baseline,7,9,s08,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,4,15,0.267,Sim
P009,Português,concluído,Não,falha no item de atenção,s12__E1__pipeline,4,10,s12,E1,pipeline,microsoft/DialoGPT-medium,6,12,0.500,Sim
P009,Português,concluído,Não,falha no item de atenção,s01__E2__pipeline,7,11,s01,E2,pipeline,facebook/blenderbot-400M-distill,6,11.5,0.522,Sim
P009,Português,concluído,Não,falha no item de atenção,s03__E3__baseline,5,12,s03,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,4,17,0.235,Sim
P009,Português,concluído,Não,falha no item de atenção,s06__E1__pipeline,5,13,s06,E1,pipeline,microsoft/DialoGPT-medium,6,10,0.600,Sim
P009,Português,concluído,Não,falha no item de atenção,s06__E4__pipeline,5,14,s06,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,9,13,0.692,Sim
P009,Português,concluído,Não,falha no item de atenção,s12__E3__baseline,6,15,s12,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,3,21,0.143,Sim
P009,Português,concluído,Não,falha no item de atenção,s01__E2__baseline,6,16,s01,E2,linha de base,facebook/blenderbot-400M-distill,5,14,0.357,Sim
P009,Português,concluído,Não,falha no item de atenção,s01__E3__baseline,6,17,s01,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,3,19,0.158,Sim
P009,Português,concluído,Não,falha no item de atenção,s07__E4__pipeline,7,18,s07,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,5,18,0.278,Sim
P009,Português,concluído,Não,falha no item de atenção,s03__E1__pipeline,1,19,s03,E1,pipeline,microsoft/DialoGPT-medium,2,11,0.182,Sim
P009,Português,concluído,Não,falha no item de atenção,s02__E3__baseline,6,20,s02,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,4,22,0.182,Sim
P009,Português,concluído,Não,falha no item de atenção,s03__E2__pipeline,2,21,s03,E2,pipeline,facebook/blenderbot-400M-distill,6,14.5,0.414,Sim
P009,Português,concluído,Não,falha no item de atenção,s06__E3__baseline,2,22,s06,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,1,18,0.056,Sim
P009,Português,concluído,Não,falha no item de atenção,s09__E1__baseline,2,23,s09,E1,linha de base,microsoft/DialoGPT-medium,1,11,0.091,Sim
P009,Português,concluído,Não,falha no item de atenção,s08__E1__baseline,2,24,s08,E1,linha de base,microsoft/DialoGPT-medium,4,6,0.667,Sim
P010,Português,concluído,Sim,,s11__E4__pipeline,2,1,s11,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,,14.5,,Não
P010,Português,concluído,Sim,,s07__E3__pipeline,5,2,s07,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,61,16.5,3.697,Não
P010,Português,concluído,Sim,,s02__E4__baseline,5,3,s02,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,49,15,3.267,Não
P010,Português,concluído,Sim,,s04__E3__pipeline,6,4,s04,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,33,17,1.941,Não
P010,Português,concluído,Sim,,s01__E3__pipeline,5,5,s01,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,56,19.5,2.872,Não
P010,Português,concluído,Sim,,s03__E2__baseline,7,6,s03,E2,linha de base,facebook/blenderbot-400M-distill,40,13,3.077,Não
P010,Português,concluído,Sim,,s04__E3__baseline,7,7,s04,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,25,17,1.471,Não
P010,Português,concluído,Sim,,s11__E3__baseline,7,8,s11,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,31,20,1.550,Não
P010,Português,concluído,Sim,,s10__E2__pipeline,6,9,s10,E2,pipeline,facebook/blenderbot-400M-distill,37,11.5,3.217,Não
P010,Português,concluído,Sim,,s12__E4__baseline,5,10,s12,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,33,20,1.650,Não
P010,Português,concluído,Sim,,s11__E2__pipeline,5,11,s11,E2,pipeline,facebook/blenderbot-400M-distill,34,16,2.125,Não
P010,Português,concluído,Sim,,s07__E3__baseline,7,12,s07,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,26,24,1.083,Não
P010,Português,concluído,Sim,,s08__E2__baseline,5,13,s08,E2,linha de base,facebook/blenderbot-400M-distill,21,14,1.500,Não
P010,Português,concluído,Sim,,s03__E3__pipeline,6,14,s03,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,19,15,1.267,Não
P010,Português,concluído,Sim,,s09__E2__pipeline,5,15,s09,E2,pipeline,facebook/blenderbot-400M-distill,18,16,1.125,Não
P010,Português,concluído,Sim,,s06__E3__pipeline,5,16,s06,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,26,18,1.444,Não
P010,Português,concluído,Sim,,s06__E1__baseline,3,17,s06,E1,linha de base,microsoft/DialoGPT-medium,27,16,1.688,Não
P010,Português,concluído,Sim,,s05__E2__baseline,4,18,s05,E2,linha de base,facebook/blenderbot-400M-distill,19,16,1.188,Não
P010,Português,concluído,Sim,,s10__E4__baseline,5,19,s10,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,16,13,1.231,Não
P010,Português,concluído,Sim,,s10__E3__pipeline,6,20,s10,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,17,20,0.850,Não
P010,Português,concluído,Sim,,s09__E3__baseline,6,21,s09,E3,linha de base,microsoft/Phi-3-mini-4k-instruct,33,26.5,1.245,Não
P010,Português,concluído,Sim,,s03__E4__baseline,4,22,s03,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,22,13,1.692,Não
P010,Português,concluído,Sim,,s07__E2__baseline,5,23,s07,E2,linha de base,facebook/blenderbot-400M-distill,31,15,2.067,Não
P010,Português,concluído,Sim,,s09__E1__pipeline,2,24,s09,E1,pipeline,microsoft/DialoGPT-medium,26,12,2.167,Não
P011,Português,concluído,Não,falha no item de atenção,s02__E1__pipeline,2,1,s02,E1,pipeline,microsoft/DialoGPT-medium,,10,,Não
P011,Português,concluído,Não,falha no item de atenção,s07__E1__pipeline,3,2,s07,E1,pipeline,microsoft/DialoGPT-medium,21,12,1.750,Não
P011,Português,concluído,Não,falha no item de atenção,s04__E2__baseline,5,3,s04,E2,linha de base,facebook/blenderbot-400M-distill,16,13,1.231,Não
P011,Português,concluído,Não,falha no item de atenção,s04__E2__pipeline,6,4,s04,E2,pipeline,facebook/blenderbot-400M-distill,11,14,0.786,Não
P011,Português,concluído,Não,falha no item de atenção,s07__E1__baseline,2,5,s07,E1,linha de base,microsoft/DialoGPT-medium,12,11,1.091,Não
P011,Português,concluído,Não,falha no item de atenção,s03__E1__baseline,2,6,s03,E1,linha de base,microsoft/DialoGPT-medium,17,14,1.214,Não
P011,Português,concluído,Não,falha no item de atenção,s08__E2__pipeline,5,7,s08,E2,pipeline,facebook/blenderbot-400M-distill,30,14,2.143,Não
P011,Português,concluído,Não,falha no item de atenção,s02__E2__pipeline,4,8,s02,E2,pipeline,facebook/blenderbot-400M-distill,8,13,0.615,Não
P011,Português,concluído,Não,falha no item de atenção,s09__E3__pipeline,6,9,s09,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,17,17,1.000,Não
P011,Português,concluído,Não,falha no item de atenção,s05__E2__pipeline,3,10,s05,E2,pipeline,facebook/blenderbot-400M-distill,13,15,0.867,Não
P011,Português,concluído,Não,falha no item de atenção,s06__E2__pipeline,1,11,s06,E2,pipeline,facebook/blenderbot-400M-distill,13,15,0.867,Não
P011,Português,concluído,Não,falha no item de atenção,s12__E3__pipeline,6,12,s12,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,19,19,1.000,Não
P011,Português,concluído,Não,falha no item de atenção,s12__E2__baseline,1,13,s12,E2,linha de base,facebook/blenderbot-400M-distill,8,20.5,0.390,Não
P011,Português,concluído,Não,falha no item de atenção,s12__E2__pipeline,4,14,s12,E2,pipeline,facebook/blenderbot-400M-distill,25,20,1.250,Não
P011,Português,concluído,Não,falha no item de atenção,s08__E1__pipeline,1,15,s08,E1,pipeline,microsoft/DialoGPT-medium,7,10,0.700,Não
P011,Português,concluído,Não,falha no item de atenção,s02__E3__pipeline,7,16,s02,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,13,25.5,0.510,Não
P011,Português,concluído,Não,falha no item de atenção,s11__E1__baseline,1,17,s11,E1,linha de base,microsoft/DialoGPT-medium,8,9,0.889,Não
P011,Português,concluído,Não,falha no item de atenção,s01__E1__baseline,1,18,s01,E1,linha de base,microsoft/DialoGPT-medium,7,8,0.875,Não
P011,Português,concluído,Não,falha no item de atenção,s08__E3__pipeline,6,19,s08,E3,pipeline,microsoft/Phi-3-mini-4k-instruct,14,21.5,0.651,Não
P011,Português,concluído,Não,falha no item de atenção,s12__E1__baseline,1,20,s12,E1,linha de base,microsoft/DialoGPT-medium,5,10,0.500,Não
P011,Português,concluído,Não,falha no item de atenção,s06__E2__baseline,1,21,s06,E2,linha de base,facebook/blenderbot-400M-distill,9,14,0.643,Não
P011,Português,concluído,Não,falha no item de atenção,s11__E2__baseline,3,22,s11,E2,linha de base,facebook/blenderbot-400M-distill,9,16,0.563,Não
P011,Português,concluído,Não,falha no item de atenção,s04__E4__pipeline,4,23,s04,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,9,17.5,0.514,Não
P011,Português,concluído,Não,falha no item de atenção,s02__E4__pipeline,5,24,s02,E4,pipeline,Qwen/Qwen2.5-3B-Instruct,13,15,0.867,Não
P012,Português,concluído,Sim,,s01__E1__pipeline,3,1,s01,E1,pipeline,microsoft/DialoGPT-medium,,17,,Não
P012,Português,concluído,Sim,,s10__E1__pipeline,1,2,s10,E1,pipeline,microsoft/DialoGPT-medium,15,10,1.500,Não
P012,Português,concluído,Sim,,s04__E4__baseline,7,3,s04,E4,linha de base,Qwen/Qwen2.5-3B-Instruct,21,15,1.400,Não
